Account ID,Account Name,nsbi_sector,Deal Type,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude,New Georeferenced Column
1,Northern Business Intelligence,ICT (includes Digital Media),Business Development Program,10850,Dartmouth,Halifax Regional Municipality,B3B1T4,2018 - 2019,-63.59236,44.70609,POINT (-63.59236 44.70609)
2,Fourth State Energy Incorporated,Energy,Business Development Program,3750,Halifax,Halifax Regional Municipality,B3J2L4,2018 - 2019,-63.632286,44.654755,POINT (-63.632286 44.654755)
3,Skinfix Inc,Advanced Manufacturing,Business Development Program,8100,Halifax,Halifax Regional Municipality,B3J1R9,2018 - 2019,-63.570552,44.645084,POINT (-63.570552 44.645084)
4,SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),Business Development Program,12500,Dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461,POINT (-63.535262 44.681461)
5,En Point Inc,ICT (includes Digital Media),Business Development Program,2520,Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
6,BlueLight Analytics Inc,Life Sciences,Business Development Program,25000,Halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071,POINT (-63.620539 44.642071)
7,Ednaturals Bar,Agri-food,Business Development Program,2450,Halifax,Halifax Regional Municipality,B3P1H5,2018 - 2019,-63.610642,44.617409,POINT (-63.610642 44.617409)
8,Focal Technologies Corporation,Oceans Technology,Business Development Program,4775,Dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855,POINT (-63.587502 44.711855)
9,Cove Kombucha,Agri-food,Business Development Program,8400,Halifax,Halifax Regional Municipality,B3J2J9,2018 - 2019,-63.576924,44.640981,POINT (-63.576924 44.640981)
10,Dormie Golf Workshop Inc.,Advanced Manufacturing,Business Development Program,14950,Halifax,Halifax Regional Municipality,B3K2Y3,2018 - 2019,-63.590301,44.660963,POINT (-63.590301 44.660963)
11,B4Checkin Limited,ICT (includes Digital Media),Business Development Program,19000,Halifax,Halifax Regional Municipality,B3J3S9,2018 - 2019,-63.586911,44.640361,POINT (-63.586911 44.640361)
12,Fundmetric Incorporated,ICT (includes Digital Media),Business Development Program,7500,Halifax,Halifax Regional Municipality,B3J3K3,2018 - 2019,-63.57813098,44.64335495,POINT (-63.57813098 44.64335495)
13,Precision BioLogic Incorporated,Life Sciences,Business Development Program,4750,Dartmouth,Halifax Regional Municipality,B3B0A9,2018 - 2019,-63.573165,44.695212,POINT (-63.573165 44.695212)
14,Duckish Natural Skin Care Limited,Advanced Manufacturing,Business Development Program,9375,Halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
15,Eyeread Inc.,ICT (includes Digital Media),Business Development Program,15000,Dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128,POINT (-63.613528 44.694128)
16,WarrierTech Inc,ICT (includes Digital Media),Business Development Program,13336,Halifax,Halifax Regional Municipality,B3H1Y1,2018 - 2019,-63.5849,44.640901,POINT (-63.5849 44.640901)
17,Unleash Surf Inc.,Travel & Accommodation,Business Development Program,5000,Halifax,Halifax Regional Municipality,B3K3S3,2018 - 2019,-63.590597,44.655797,POINT (-63.590597 44.655797)
18,Atlantic Institute for Resilience Inc.,Life Sciences,Business Development Program,13750,Halifax,Halifax Regional Municipality,B3H1Y4,2018 - 2019,-63.585161,44.640827,POINT (-63.585161 44.640827)
19,Cribcut,ICT (includes Digital Media),Business Development Program,7500,Halifax,Halifax Regional Municipality,B3J3R7,2018 - 2019,-63.57614729,44.65208895,POINT (-63.57614729 44.65208895)
20,Sealand Building Group Inc,Advanced Manufacturing,Business Development Program,22500,Halifax,Halifax Regional Municipality,B4B1G2,2018 - 2019,-63.741086,44.724533,POINT (-63.741086 44.724533)
21,Made with Local Snack Foods Inc.,Agri-food,Business Development Program,15750,Dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949,POINT (-63.568797 44.669949)
22,InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Business Development Program,14850,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
23,Bend Beauty Inc.,Life Sciences,Business Development Program,10000,Halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
24,Made with Local Snack Foods Inc.,Agri-food,Business Development Program,2100,Dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949,POINT (-63.568797 44.669949)
25,Chocolate Hackers,Agri-food,Business Development Program,375,Halifax,Halifax Regional Municipality,B3K2H7,2018 - 2019,-63.604915,44.665088,POINT (-63.604915 44.665088)
26,Grey Lit Matters Inc,ICT (includes Digital Media),Business Development Program,7560,Halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968,POINT (-63.608219 44.630968)
27,DynaGen Technologies Incorporated,Advanced Manufacturing,Business Development Program,14775,Dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
28,EfficiencyOne Services Inc,Business Services,Business Development Program,2875,Dartmouth,Halifax Regional Municipality,B3B1G5,2018 - 2019,-63.605171,44.69816,POINT (-63.605171 44.69816)
29,Bereda Training Inc.,ICT (includes Digital Media),Business Development Program,15000,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
30,Iris Booth Incorporated,Business Services,Business Development Program,8000,Halifax,Halifax Regional Municipality,B3K2Z8,2018 - 2019,-63.581653,44.651755,POINT (-63.581653 44.651755)
31,Densitas Inc,ICT (includes Digital Media),Business Development Program,15000,Halifax,Halifax Regional Municipality,B3H3Z1,2018 - 2019,-63.59645,44.637136,POINT (-63.59645 44.637136)
32,Novate Systems Inc.,Engineering & Professional,Business Development Program,7000,Dartmouth,Halifax Regional Municipality,B3B1P7,2018 - 2019,-63.61637086,44.70527104,POINT (-63.61637086 44.70527104)
33,Bend Beauty Inc.,Life Sciences,Business Development Program,15000,Halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
34,MindSea Development Incorporated,ICT (includes Digital Media),Business Development Program,25000,Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
35,Site 2020 Inc.,ICT (includes Digital Media),Business Development Program,25000,Dartmouth,Halifax Regional Municipality,B3B1L3,2018 - 2019,-63.595664,44.704755,POINT (-63.595664 44.704755)
36,Athletigen Technologies Inc,Life Sciences,Business Development Program,25000,Halifax,Halifax Regional Municipality,B3J1G1,2018 - 2019,-63.57539255,44.64341829,POINT (-63.57539255 44.64341829)
37,Spring Loaded Technology Incorporated,Life Sciences,Business Development Program,25000,Halifax,Halifax Regional Municipality,B3K1P5,2018 - 2019,-63.596475,44.653518,POINT (-63.596475 44.653518)
38,Boondoc Technologies Inc (The Rounds),ICT (includes Digital Media),Business Development Program,8063,Halifax,Halifax Regional Municipality,B3K4X5,2018 - 2019,-63.611268,44.662185,POINT (-63.611268 44.662185)
39,The 7 Virtues Beauty Inc,Advanced Manufacturing,Business Development Program,15000,Halifax,Halifax Regional Municipality,B3H1B1,2018 - 2019,-63.574296,44.624597,POINT (-63.574296 44.624597)
40,902HipHop Inc.,ICT (includes Digital Media),Business Development Program,15000,Halifax,Halifax Regional Municipality,B3K4N7,2018 - 2019,-63.594931,44.654736,POINT (-63.594931 44.654736)
41,MetOcean Telematics Limited,Oceans Technology,Business Development Program,24750,Dartmouth,Halifax Regional Municipality,B3B1R9,2018 - 2019,-63.595049,44.699403,POINT (-63.595049 44.699403)
42,Blue Harbour Cheese Incorporated,Agri-food,Business Development Program,3750,Halifax,Halifax Regional Municipality,B3K4S7,2018 - 2019,-63.611255,44.665687,POINT (-63.611255 44.665687)
43,Current Studios Inc,ICT (includes Digital Media),Export Growth Program,8713,Halifax,Halifax Regional Municipality,B3J3X8,2018 - 2019,-63.576767,44.64669,POINT (-63.576767 44.64669)
44,R&G Strategic Inc,Business Services,Export Growth Program,3375,Halifax,Halifax Regional Municipality,B3K5J7,2018 - 2019,-63.59056367,44.64722055,POINT (-63.59056367 44.64722055)
45,Digital Cinema Labs Inc.,Film Production,Export Growth Program,1600,Halifax,Halifax Regional Municipality,B3H2V1,2018 - 2019,-63.573651,44.632871,POINT (-63.573651 44.632871)
46,Grey Lit Matters Inc,ICT (includes Digital Media),Export Growth Program,875,Halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968,POINT (-63.608219 44.630968)
47,Roswall Development Incorporated,Energy,Export Growth Program,9200,Halifax,Halifax Regional Municipality,B3M2L3,2018 - 2019,-63.66099,44.683287,POINT (-63.66099 44.683287)
48,EcoPilot Canada Inc.,Engineering & Professional,Export Growth Program,5520,Halifax,Halifax Regional Municipality,B3J3L7,2018 - 2019,-63.575048,44.649083,POINT (-63.575048 44.649083)
