OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,FCODE,ADDDATE,MODDATE
1,BS2205,8446,Yes,Waverley Rd Before Breeze Dr (8446),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
2,BS2207,8448,Yes,Waverley Rd Before Micmac Dr (8448),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
3,BS2109,8468,Yes,Waverley Rd Before Ellis Ct (8468),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
4,BS1463,8486,Yes,Wildwood Blvd Before Roslyn Dr (8486),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
5,BS1465,8488,Yes,Willett St After Chadwick Pl (8488),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
6,BS1466,8489,Yes,Willett St After Chelsea Ln (8489),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
7,BS1750,8491,Yes,Willett St After Dunbrack St (8491),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
8,BS1751,8492,Yes,Willett St After Glenforest Dr (8492),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
9,BS1752,8493,Yes,Willett St After Main Ave (8493),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
10,BS1758,8499,Yes,Willett St Before Apollo Ct (8499),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
11,BS1736,7086,Yes,Willett St Before Lacewood Dr (7086),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
12,BS1761,8502,Yes,Willett St After Frederick Ave (8502),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
13,BS1754,8495,Yes,Willett St Opposite Glenforest Dr (8495),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
