OBJECTID,PARK_ID,OWNER,HRMINTRST,HECTARES,NAMESTATUS,NAMEAPRDTE,PARK_MAINT,GROUP_ID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,GLOBALID,PARK_NAME,PARK_TYPE,DEVELOPED,CIVIC_ID,Shape__Area,Shape__Length
1,2751,Halifax,Yes,2.02,N,,HRM,2751,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-05-12T00:00:00.000Z,Asset Management Project,,5b11c0f2-63a1-42f9-9958-47ece706f3a1,KINGSWOOD DRIVE PARK,Neighbourhood,Yes,3917,39945.26172,982.7705342
3,1302,Halifax,Yes,2.41,N,,HRM,1302,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-10-24T00:00:00.000Z,Asset Management Project,,458e904f-1692-491e-86cb-8fe35fa5e239,DUTCH SETTLEMENT PARK,Community,Yes,146509,48223.87109,955.7096921
4,5100,Halifax,Yes,10.37,N,,HRM,5058,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:45.000Z,Parkland Planners,,c8532649-36f6-4364-b61f-810a8b9e246e,SMELT BROOK PARK,Community,Yes,84403,204701.3867,3077.865515
5,5101,Halifax,Yes,0.09,C,,HRM,5060,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-07-09T00:00:00.000Z,Council Action,,94740f9d-d7dc-4406-bc2e-7c7c3a827c68,MARY BETH BENEDICT MEMORIAL PARK,Community,Yes,145019,1739.09375,203.5794058
6,959,Halifax,Yes,4.61,N,,HRM,959,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-03-04T00:00:00.000Z,Asset Management Project,,ab537399-f755-43d0-895f-74aa1b003e40,BIRCH COVE PARK,Community,Yes,127124,91203.9375,1559.725848
7,980,Halifax,Yes,0.02,N,,,980,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,,,,34510642-f39c-42f6-a769-e4edabca3c96,OAK STREET PARK,Neighbourhood,Yes,56117,322.484375,75.93113556
9,1112,Halifax,Yes,6.41,N,,HRM,1112,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-10-24T00:00:00.000Z,Asset Management Project,,f5853d06-063c-456f-ab2c-8d2a745f90cc,BILLY BOLLONG MEMORIAL PARK,Community,Yes,94922,127408.2734,2099.319642
10,1141,Halifax,Yes,1.48,N,,HRM,1141,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-10-24T00:00:00.000Z,Asset Management Project,,a5bb820e-49df-4762-a3a9-9bc4ee08b483,PLEASANT VALLEY PARK,Community,Yes,88616,29658.42578,709.8298728
11,5224,Halifax,Yes,5.86,A,2014-12-02T00:00:00.000Z,HRM,5220,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2014-06-13T00:00:00.000Z,Plan,Digitize,5ffff784-dedd-4528-87ec-9a9b5d7f76f0,BAKER DRIVE COMMUNITY PARK,Community,Yes,163034,115848.4766,1990.726724
12,5225,Halifax,Yes,0.27,A,2014-12-02T00:00:00.000Z,HRM,5231,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2014-08-27T00:00:00.000Z,Plan,Interactive,48e74927-b128-4509-bc32-48938d527a60,HADLEY CRESCENT NEIGHBOURHOOD PARK,Neighbourhood,Yes,164237,5318.484375,282.6875724
13,3500,Halifax,Yes,0.09,N,,HRM,3578,2019-02-08T21:05:13.000Z,2019-09-19T17:31:49.000Z,2007-10-19T00:00:00.000Z,Asset Management Project,Digitize,8f5cf9d8-17cc-4f48-96c1-9db2d0aedfe5,ABERDEEN COURT PARK,Community,Yes,146986,1876.511719,180.801538
14,127,Halifax,Yes,0.29,N,,Private,127,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-10-19T00:00:00.000Z,Parkland Planners,Digitize,0157aaf7-c524-4f44-af90-c844c38fe680,ABERDEEN COURT PARK,Neighbourhood,Yes,146972,5788.035156,392.219961
15,3587,Halifax,Yes,7.36,N,,Private,3587,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2008-03-17T00:00:00.000Z,Asset Management Project,Digitize,ebd4449a-df90-4ecf-bb43-8b46da981fd5,ECOLE DU CARREFOUR PARK,Community,Yes,146974,145643.0586,1868.422342
16,329,Halifax,Yes,4.4,N,,School Board,329,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2007-11-06T13:52:44.000Z,Asset Management Project,,dc978ddb-8199-4b4d-95cd-642eb3e96bfe,SACKVILLE HEIGHTS JUNIOR HIGH SCHOOL PARK,Community,Yes,40745,87297.69922,1962.907597
17,3589,Halifax,Yes,0.33,N,,HRM,3589,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2008-04-21T00:00:00.000Z,Asset Management Project,Digitize,e9a0741d-7d8e-4a1a-9b3a-4c88517b0487,COOKS BROOK PARK,Community,Yes,89496,6624.246094,339.9349976
18,5218,Halifax,Yes,0.27,,,HRM,977,2019-02-08T21:05:13.000Z,2019-09-19T17:31:48.000Z,2013-10-21T00:00:00.000Z,Asset Management Project,,c2d59beb-a591-42f4-9600-37c3d3c6a0ad,UNNAMED PARK 9,Neighbourhood,Yes,126661,5363.523438,327.3309884
19,5124,Halifax,Yes,0.97,N,,HRM,2641,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:44.000Z,Asset Management Project,,e3998b9c-9826-4a9d-a862-63d7b3fd774d,GREENFOREST PARK,Community,No,33945,19378.07422,1110.465681
20,5125,Halifax,Yes,0.17,N,,HRM,5080,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2007-12-03T15:19:24.000Z,Asset Management Project,,62642b71-6e4b-40d1-8187-2d9924ab6581,LAKELAND STREET PARK,Neighbourhood,No,135703,3304.734375,288.24986
21,5126,Halifax,Yes,0.05,N,,HRM,5079,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2007-11-06T13:52:44.000Z,Asset Management Project,,d11037e8-297a-4b22-a461-33c38e5d6c77,FLETCHER DRIVE PARK,Neighbourhood,Yes,147478,937.59375,130.2908869
