Facility ID,Facility,Permit Type,Permit Status,Facility Town
1,PARKLAND AT THE LAKES - KINROSS HALL/LOUIS HALL,Eating Establishment,Issued,DARTMOUTH
2,KAJOHN THAI RESTAURANT,Eating Establishment,Issued,HALIFAX
3,COCO'S CAFE & CATERING,Eating Establishment,Issued,HALIFAX
4,CREAMY RAINBOW BAKERY & CAFE,Eating Establishment,Issued,HALIFAX
5,SOURWOOD,Eating Establishment,Issued,HALIFAX
6,SUSHI NAMI ROYALE,Eating Establishment,Issued,DARTMOUTH
7,KYO KITCHEN & BAR,Eating Establishment,Issued,HALIFAX
8,BIONE RESTAURANT,Eating Establishment,Issued,HALIFAX
9,LUCY'S CAFE AND EATERY,Eating Establishment,Issued,DARTMOUTH
10,OPEN BOOK COFFEE,Eating Establishment,Issued,HALIFAX
11,INDIAN GROCERIES,Eating Establishment,Issued,HALIFAX
12,SPRINGHOUSE,Eating Establishment,Issued,HALIFAX
13,ALEXANDRA'S PIZZA,Eating Establishment,Issued,DARTMOUTH
14,GRECO PIZZA,Eating Establishment,Issued,HALIFAX
15,COFFEE ON ROBIE,Eating Establishment,Issued,HALIFAX
16,VINES PASTA GRILL RESTAURANT,Eating Establishment,Issued,DARTMOUTH
17,ADMIRAL LONG TERM CARE (THE),Eating Establishment,Issued,DARTMOUTH
18,OXFORD MANOR HOME FOR SPECIAL CARE,Eating Establishment,Issued,HALIFAX
19,MELVILLE LODGE CARE CENTRE,Eating Establishment,Issued,HALIFAX
20,Haven Manor,Eating Establishment,Issued,HALIFAX
21,VILLE CAFFEINE BAR (THE),Eating Establishment,Issued,HALIFAX
22,SECOND CUP,Eating Establishment,Issued,DARTMOUTH
23,STATION 1 LEBANESE KITCHEN,Eating Establishment,Issued,DARTMOUTH
24,GOTTINGEN STREET PIZZA,Eating Establishment,Issued,HALIFAX
25,ORGANIC EARTH MARKET,Eating Establishment,Issued,HALIFAX
26,CACAO70,Eating Establishment,Issued,HALIFAX
27,YU YO CRAFT SUPPLY & TEA HOUSE,Eating Establishment,Issued,HALIFAX
