ObjectID,Property (Project Number),Civic Address,Community,Number of Units,PID
1704,4201,3 Lahey Rd,Dartmouth,5,96271
1705,4201,9 Lahey Rd,Dartmouth,5,96271
1706,4201,15 Lahey Rd,Dartmouth,5,96271
1707,4201,21 Lahey Rd,Dartmouth,5,96271
1708,4201,27 Lahey Rd,Dartmouth,5,96271
1709,4201,39 Lahey Rd,Dartmouth,5,96248
1710,4201,45 Lahey Rd,Dartmouth,5,96248
1711,4201,33 Lahey Rd,Dartmouth,5,96248
1712,4202,101 Nova Crt,Dartmouth,64,40463879
1713,4202,1 Fundy Lane,Dartmouth,1,82644
1714,4202,3 Fundy Lane,Dartmouth,1,82644
1715,4202,4 Fundy Lane,Dartmouth,1,82644
1716,4202,2 Fundy Lane,Dartmouth,1,82644
1717,4202,6 Fundy Lane,Dartmouth,1,82644
1718,4202,7 Fundy Lane,Dartmouth,1,82644
1719,4202,8 Fundy Lane,Dartmouth,1,82644
1720,4202,5 Fundy Lane,Dartmouth,1,82644
1721,4202,9 Fundy Lane,Dartmouth,1,82644
1722,4202,10 Fundy Lane,Dartmouth,1,82644
1723,4202,11 Fundy Lane,Dartmouth,1,82644
1724,4202,12 Fundy Lane,Dartmouth,1,82644
1725,4202,1 Canso Lane,Dartmouth,1,82644
1726,4202,2 Canso Lane,Dartmouth,1,82644
1727,4202,3 Canso Lane,Dartmouth,1,82644
1728,4202,4 Canso Lane,Dartmouth,1,82644
1729,4202,5 Canso Lane,Dartmouth,1,82644
1730,4202,6 Canso Lane,Dartmouth,1,82644
1731,4202,7 Canso Lane,Dartmouth,1,82644
1732,4202,8 Canso Lane,Dartmouth,1,82644
1733,4202,9 Canso Lane,Dartmouth,1,82644
1734,4202,11 Canso Lane,Dartmouth,1,82644
1735,4202,12 Canso Lane,Dartmouth,1,82644
1736,4202,1 Chebucto Lane,Dartmouth,1,82644
1737,4202,2 Chebucto Lane,Dartmouth,1,82644
1738,4202,3 Chebucto Lane,Dartmouth,1,82644
1739,4202,4 Chebucto Lane,Dartmouth,1,82644
1740,4202,5 Chebucto Lane,Dartmouth,1,82644
1741,4202,6 Chebucto Lane,Dartmouth,1,82644
1742,4202,7 Chebucto Lane,Dartmouth,1,82644
1743,4202,8 Chebucto Lane,Dartmouth,1,82644
1744,4202,9 Chebucto Lane,Dartmouth,1,82644
1745,4202,10 Chebucto Lane,Dartmouth,1,82644
1746,4202,11 Chebucto Lane,Dartmouth,1,82644
1747,4202,12 Chebucto Lane,Dartmouth,1,82644
1748,4202,1 Bras Dor Lane,Dartmouth,1,82644
1749,4202,2 Bras Dor Lane,Dartmouth,1,82644
1750,4202,3 Bras Dor Lane,Dartmouth,1,82644
1751,4202,4 Bras Dor Lane,Dartmouth,1,82644
1752,4202,5 Bras Dor Lane,Dartmouth,1,82644
1753,4202,6 Bras Dor Lane,Dartmouth,1,82644
1762,4202,7 Bras Dor Lane,Dartmouth,1,82644
1764,4202,8 Bras Dor Lane,Dartmouth,1,82644
1765,4202,9 Bras Dor Lane,Dartmouth,1,82644
1766,4202,10 Bras Dor Lane,Dartmouth,1,82644
1767,4202,11 Bras Dor Lane,Dartmouth,1,82644
1768,4202,12 Bras Dor Lane,Dartmouth,1,82644
1769,4204,53 Leaman Dr,Dartmouth,5,40171860
1770,4204,57 Leaman Dr,Dartmouth,5,101642
1775,4202,10 Canso Lane,Dartmouth,1,82644
1779,4210,12 Everette St (A),Dartmouth,1,40041634
1780,4210,12 Everette St,Dartmouth,1,40041840
1781,4210,3 Mackenzie St,Dartmouth,1,40042038
1782,4210,1 Mackenzie St,Dartmouth,1,227926
1783,4210,28 Mason St,Dartmouth,1,259069
1784,4210,26 Mason St,Dartmouth,1,40070922
1785,4210,7 Novawood Dr,Dartmouth,1,479816
1786,4210,33 Carleton St,Dartmouth,1,260885
1787,4210,15 Herbert St,Dartmouth,1,259226
1788,4210,58 Renfrew St,Dartmouth,1,247825
1789,4210,59 Renfrew St,Dartmouth,1,247346
1790,4210,56 Belmont Ave,Dartmouth,1,261271
1791,4210,60 Belmont Ave,Dartmouth,1,40283525
1792,4210,58 Belmont Ave,Dartmouth,1,40283509
1793,4210,63 Belmont Ave,Dartmouth,1,261206
1794,4215,4 Lilac St,Dartmouth,1,259440
1795,4215,36 Chadwick St,Dartmouth,2,247205
1796,4215,6 Lynwood Dr,Dartmouth,1,40069585
1798,4215,8 Lynwood Dr,Dartmouth,1,40069577
1799,4215,10 Lynwood Dr,Dartmouth,1,40069569
1800,4215,12 Lynwood Dr,Dartmouth,1,275495
1801,4215,18 Lynwood Dr,Dartmouth,1,275529
1802,4215,103 Caledonia Rd,Dartmouth,1,40181208
1803,4215,105 Caledonia Rd,Dartmouth,1,40181216
1804,4215,107 Caledonia Rd,Dartmouth,1,179002
1805,4215,21 Paul David Crt,Dartmouth,1,40181414
1806,4221,55 Belmont Ave,Dartmouth,1,261198
1807,4221,57 Belmont Ave,Dartmouth,1,610063
1808,4215,22 Paul David Crt,Dartmouth,1,40181422
1809,4221,14 Herbert St,Dartmouth,1,259333
1810,4221,16 Herbert St,Dartmouth,1,259341
1811,4221,35 Grant St,Dartmouth,1,259416
1812,4221,18 Mason St,Dartmouth,1,259028
1813,4221,18 Herbert St,Dartmouth,1,387944
1814,4221,56 Renfrew St,Dartmouth,1,247817
1815,4224,373 Prince Albert Rd,Dartmouth,2,40357261
1816,4230,24 Trenholme St,Dartmouth,1,260265
1817,4230,26 Trenholme St,Dartmouth,1,260265
1818,4230,28 Trenholme St,Dartmouth,1,40376964
1819,4230,30 Trenholme St,Dartmouth,1,40376964
1820,4230,45 Trinity Ave,Dartmouth,2,63438
1821,4234,44 Trinity Ave,Dartmouth,1,40433864
1822,4234,46 Trinity Ave,Dartmouth,1,40433864
1823,4234,48 Trinity Ave,Dartmouth,1,63594
1824,4234,50 Trinity Ave,Dartmouth,1,63594
1825,4239,34 Venice Crt,Dartmouth,1,40270498
1826,4239,36 Venice Crt,Dartmouth,1,40270480
1827,4239,24 Albert St,Dartmouth,1,130500
1828,4239,42 Andover St,Dartmouth,1,40580193
1829,4239,44 Andover St,Dartmouth,1,40580201
1830,4224,20 Lilac St,Dartmouth,2,40352312
1834,4301,6795 Bayers Rd,Halifax,1,85076
1835,4301,6811 Bayers Rd,Halifax,1,85076
1844,4301,6817 Bayers Rd,Halifax,1,85076
1845,4301,6829 Bayers Rd,Halifax,1,85076
1846,4301,6823 Bayers Rd,Halifax,1,85076
