YEAR,INCIDENTS,RATES,id,Region Id
12/31/2016 0:00,0,0,7,2
12/31/2010 0:00,0,0,8,1
12/31/2017 0:00,0,0,14,3
12/31/2017 0:00,606,140.37,5,4
12/31/2012 0:00,0,0,3,3
12/31/2010 0:00,4,1,6,4
12/31/2011 0:00,0,0,7,3
12/31/2013 0:00,0,0,4,1
12/31/2017 0:00,0,0,1,1
12/31/2010 0:00,381,95.67,13,4
12/31/2013 0:00,0,0,11,3
12/31/2011 0:00,0,0,7,1
12/31/2013 0:00,0,0,1,1
12/31/2011 0:00,0,0,1,1
12/31/2017 0:00,0,0,6,3
12/31/2015 0:00,0,0,4,3
12/31/2015 0:00,0,0,13,3
12/31/2010 0:00,619,155.43,13,4
12/31/2012 0:00,0,0,6,2
12/31/2012 0:00,548,134.71,13,4
12/31/2013 0:00,495,120.7,13,4
12/31/2014 0:00,0,0,6,1
12/31/2015 0:00,0,0,1,1
12/31/2013 0:00,0,0,15,3
12/31/2013 0:00,108,26.34,9,4
12/31/2011 0:00,0,0,6,1
12/31/2017 0:00,0,0,15,1
12/31/2010 0:00,224,56.25,8,4
12/31/2011 0:00,0,0,15,3
12/31/2015 0:00,0,0,8,3
12/31/2010 0:00,4,0,12,3
12/31/2016 0:00,39,9.18,12,4
12/31/2016 0:00,0,0,10,3
12/31/2013 0:00,0,0,13,1
12/31/2014 0:00,0,0,15,3
12/31/2017 0:00,125,28.95,5,4
12/31/2010 0:00,0,0,1,1
12/31/2014 0:00,0,0,1,2
12/31/2012 0:00,0,0,5,3
12/31/2015 0:00,340,81.56,6,4
12/31/2012 0:00,0,0,8,1
12/31/2013 0:00,0,0,1,2
12/31/2011 0:00,0,0,3,2
12/31/2014 0:00,0,0,12,1
12/31/2014 0:00,0,0,13,2
12/31/2011 0:00,0,0,13,2
12/31/2014 0:00,0,0,7,1
12/31/2015 0:00,0,0,7,1
12/31/2017 0:00,0,0,7,3
12/31/2013 0:00,942,229.71,11,4
