Year,Board Code,Board Name,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mailing Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,512,ADMIRAL WESTPHAL ELEMENTARY SCHOOL,6 FOURTH ST,DARTMOUTH NS,B2X 3A5,,,,9024358305,9024351749,AWES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,513,ALDERNEY ELEMENTARY SCHOOL,2 PENHORN DR,DARTMOUTH NS,B2Y 3K1,,,,9024642040,9024642686,ALDERNEY@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,739,ASTRAL DRIVE ELEMENTARY SCHOOL,236 ASTRAL DR,DARTMOUTH NS,B2V 1B8,,,,9024628500,9024628600,ADE@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,749,ASTRAL DRIVE JUNIOR HIGH SCHOOL,238 ASTRAL DR,DARTMOUTH NS,B2V 1B8,,,,9024628700,9024626047,ADJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,97,AUBURN DRIVE HIGH SCHOOL,300 AUBURN DR,DARTMOUTH NS,B2W 6E9,,,,9024626900,9024626950,ADHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,514,BEL AYR ELEMENTARY SCHOOL,4 BELL ST,DARTMOUTH NS,B2W 2P3,,,,9024358353,9024358373,BELAYR@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,515,BICENTENNIAL SCHOOL,85 VICTORIA RD,DARTMOUTH NS,B3A 1T9,,,,9024642094,9024642098,BICENT@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,519,BROOKHOUSE ELEMENTARY SCHOOL,15 CHRISTOPHER AVE,DARTMOUTH NS,B2W 3G2,,,,9024358318,9024358323,BES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,595,BURTON ETTINGER ELEMENTARY SCHOOL,52 ALEX ST,HALIFAX NS,B3N 2W4,,,,9024578922,9024578928,BEES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,319,CALDWELL ROAD ELEMENTARY SCHOOL,280 CALDWELL RD,DARTMOUTH NS,B2V 1A3,,,,9024626010,9024626017,CRES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,516,CALEDONIA JUNIOR HIGH SCHOOL,38 CALEDONIA RD,DARTMOUTH NS,B2X 1K8,,,,9024358413,9024358425,CJHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,611,CENTRAL SPRYFIELD SCHOOL,364 HERRING COVE RD,HALIFAX NS,B3R 1V8,,,,9024794286,9024794295,CSES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL,230 COWIE HILL RD,HALIFAX NS,B3P 2M3,,,,9024794298,9024794408,CHES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1109,CITADEL HIGH SCHOOL,1855 TROLLOPE ST,HALIFAX NS,B3H 0A4,,,,9024914444,9024911700,CHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,600,CLAYTON PARK JUNIOR HIGH SCHOOL,45 PLATEAU CRES,HALIFAX NS,B3M 2V7,,,,9024578930,9024571646,CPJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,352,COLBY VILLAGE ELEMENTARY SCHOOL,92 COLBY DR,DARTMOUTH NS,B2V 1J7,,,,9024645152,9024645154,CVES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,517,CRICHTON PARK ELEMENTARY SCHOOL,49 LYNGBY AVE,DARTMOUTH NS,B3A 3V1,,,,9024642503,9024642770,CRICHTON@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,605,CUNARD JUNIOR HIGH SCHOOL,121 WILLIAMS LAKE RD,HALIFAX NS,B3P 1T6,,,,9024794418,9024794425,CUNARD@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,518,DARTMOUTH HIGH SCHOOL,95 VICTORIA RD,DARTMOUTH NS,B3A 1V2,,,,9024642457,9024642384,DHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1193,DARTMOUTH SOUTH ACADEMY,111 PRINCE ARTHUR AVE,DARTMOUTH NS,B2Y 3T3,,,,9024642081,9024610199,DSA@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,601,DUC D'ANVILLE ELEMENTARY SCHOOL,12 CLAYTON PARK DR,HALIFAX NS,B3M 1L3,,,,9024578940,9024578945,DDES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,614,ELIZABETH SUTHERLAND SCHOOL,66 ROCKINGSTONE RD,HALIFAX NS,B3R 2C9,,,,9024794427,9024794430,ESS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,538,ELLENVALE JUNIOR HIGH SCHOOL,88 BELLE VISTA DR,DARTMOUTH NS,B2W 2X7,,,,9024358420,9024358469,EJHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,564,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL,70 DOROTHEA DR,DARTMOUTH NS,B2W 4M3,,,,9024358325,9024358379,EGMJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,599,FAIRVIEW HEIGHTS ELEMENTARY SCHOOL,210 CORONATION AVE,HALIFAX NS,B3N 2N3,,,,9024578953,9024578957,FHES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,578,FAIRVIEW JUNIOR HIGH SCHOOL,155 ROSEDALE AVE,HALIFAX NS,B3N 2K2,,,,9024578960,9024578963,FVJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,731,GEORGE BISSETT ELEMENTARY SCHOOL,170 ARKLOW DR,DARTMOUTH NS,B2W 4R6,,,,9024645184,9024645187,GBES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,568,GORSEBROOK JUNIOR HIGH SCHOOL,5966 SOUTH ST,HALIFAX NS,B3H 1S6,,,,9024216758,9024212709,GJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL,4 DOWNING ST,HALIFAX NS,B3M 2G4,,,,9024578422,9024578430,GWP@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,567,HALIFAX CENTRAL JUNIOR HIGH SCHOOL,1787 PRESTON ST,HALIFAX NS,B3H 3V7,,,,9024216777,9024212868,CENTRAL@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,592,HALIFAX WEST HIGH SCHOOL,283 THOMAS RADDALL DR,HALIFAX NS,B3S 1R1,,,,9024578900,9024578980,HWHS@HRCE.CA
