Board Code,School Board,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mail Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email,Grade Level,Early Immersion,Middle Immersion,Late Immersion,Intensive French,Integrated French,Location
54,HALIFAX REGIONAL              ,577,ST. CATHERINE'S ELEMENTARY SCHOOL                           ,                              ,                              ,       ,3299 CONNOLLY ST              ,HALIFAX NS            ,B3L 3P7,9024935143,9024935163,STCATH@HRSB.CA                                 ,ELEMENTARY                    ,Early Immersion,,,,,"3299 CONNOLLY ST
HALIFAX NS, NS B3L 3P7
(44.655794, -63.614515)"
54,HALIFAX REGIONAL              ,614,ELIZABETH SUTHERLAND SCHOOL                                 ,                              ,                              ,       ,66 ROCKINGSTONE RD            ,HALIFAX NS            ,B3R 2C9,9024794427,9024794430,ESS@HRSB.CA                                    ,ELEMENTARY/JUNIOR             ,Early Immersion,,,,,"66 ROCKINGSTONE RD
HALIFAX NS, NS B3R 2C9
(44.603923, -63.618601)"
54,HALIFAX REGIONAL              ,749,ASTRAL DRIVE JUNIOR HIGH SCHOOL                             ,                              ,                              ,       ,238 ASTRAL DR                 ,DARTMOUTH NS          ,B2V 1B8,9024628700,9024626047,ADJH@HRSB.CA                                   ,JUNIOR HIGH                   ,Early Immersion,,Late Immersion,,,"238 ASTRAL DR
DARTMOUTH NS, NS B2V 1B8
(44.653121, -63.478874)"
54,HALIFAX REGIONAL              ,596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL                          ,                              ,                              ,       ,230 COWIE HILL RD             ,HALIFAX NS            ,B3P 2M3,9024794298,9024794408,CHES@HRSB.CA                                   ,ELEMENTARY                    ,Early Immersion,,,,,"230 COWIE HILL RD
HALIFAX NS, NS B3P 2M3
(44.629917, -63.623639)"
54,HALIFAX REGIONAL              ,1109,CITADEL HIGH SCHOOL                                         ,                              ,                              ,       ,1855 TROLLOPE ST              ,HALIFAX NS            ,B3H 0A4,9024914444,9024911700,CHS@HRSB.CA                                    ,SENIOR HIGH                   ,Early Immersion,,,,,"1855 TROLLOPE ST
HALIFAX NS, NS B3H 0A4
(44.64761, -63.585665)"
54,HALIFAX REGIONAL              ,619,J. L. ILSLEY HIGH SCHOOL                                    ,                              ,                              ,       ,38 SYLVIA AVE                 ,HALIFAX NS            ,B3R 1J9,9024794612,9024794635,JLI@HRSB.CA                                    ,SENIOR HIGH                   ,Early Immersion,,Late Immersion,,,"38 SYLVIA AVE
HALIFAX NS, NS B3R 1J9
(44.605788, -63.608559)"
54,HALIFAX REGIONAL              ,320,SIR ROBERT BORDEN JUNIOR HIGH SCHOOL                        ,                              ,                              ,       ,16 EVERGREEN DR               ,DARTMOUTH NS          ,B2W 4A7,9024645140,9024645150,SRBJH@HRSB.CA                                  ,JUNIOR HIGH                   ,,,Late Immersion,,,"16 EVERGREEN DR
DARTMOUTH NS, NS B2W 4A7
(44.674987, -63.496488)"
54,HALIFAX REGIONAL              ,534,SHANNON PARK ELEMENTARY SCHOOL                              ,                              ,                              ,       ,75 IROQUOIS DR                ,DARTMOUTH NS          ,B3A 4M5,9024642084,9024642866,SPES@HRSB.CA                                   ,ELEMENTARY                    ,Early Immersion,,,,,"75 IROQUOIS DR
DARTMOUTH NS, NS B3A 4M5
(44.684408, -63.603365)"
54,HALIFAX REGIONAL              ,595,BURTON ETTINGER ELEMENTARY SCHOOL                           ,                              ,                              ,       ,52 ALEX ST                    ,HALIFAX NS            ,B3N 2W4,9024578922,9024578928,BEES@HRSB.CA                                   ,ELEMENTARY                    ,Early Immersion,,,,,"52 ALEX ST
HALIFAX NS, NS B3N 2W4
(44.652472, -63.636393)"
54,HALIFAX REGIONAL              ,592,HALIFAX WEST HIGH SCHOOL                                    ,                              ,                              ,       ,283 THOMAS RADDALL DR         ,HALIFAX NS            ,B3S 1R1,9024578900,9024578980,HWHS@HRSB.CA                                   ,SENIOR HIGH                   ,Early Immersion,,Late Immersion,,,"283 THOMAS RADDALL DR
HALIFAX NS, NS B3S 1R1
(44.655661, -63.663958)"
