OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
1,91,WEEKDAY REGULAR,HEMLOCK RAVINE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,27054.48477
2,90,SATURDAY,LARRY UTECK,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,38040.0158
3,25,SUNDAY,GOVERNORS BROOK,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,14156.97562
4,32,PEAK,COWIE HILL EXPRESS,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2003-08-25T00:00:00.000Z,15814.66566
5,54,BASE,MONTEBELLO,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2005-05-27T00:00:00.000Z,17872.31558
6,185,PEAK,MILLWOOD EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,65332.56655
7,29,BASE,BARRINGTON,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2019-11-25T00:00:00.000Z,25450.84938
9,68,SUNDAY,CHERRYBROOK,TRANSIT,IN,2004-05-31T00:00:00.000Z,2004-05-31T00:00:00.000Z,2018-02-07T00:00:00.000Z,29765.36858
10,72,BASE,PORTLAND HILLS,TRANSIT,IN,2008-05-27T00:00:00.000Z,2005-05-27T00:00:00.000Z,2008-09-03T00:00:00.000Z,33720.95474
11,66,WEEKDAY REGULAR,PENHORN,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,17877.3173
12,370,WEEKDAY REGULAR,PORTERS LAKE METROX,TRANSIT,IN,2013-11-18T00:00:00.000Z,2013-11-18T00:00:00.000Z,2019-11-25T00:00:00.000Z,54024.48408
13,25,WEEKDAY REGULAR,GOVERNORS BROOK,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,14156.97562
14,186,WEEKDAY REGULAR,BEAVER BANK EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,69058.96989
15,82,WEEKDAY REGULAR,FIRST LAKE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,16744.3461
16,84,SATURDAY,GLENDALE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,50575.0276
17,87,WEEKDAY REGULAR,SACKVILLE - DARTMOUTH,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,34732.21927
18,99,OTHER,EMPLOYEE COACH RLTC,TRANSIT,IN,2013-03-07T00:00:00.000Z,2013-03-07T00:00:00.000Z,,10411.18221
19,78,PEAK,MOUNT EDWARD EXPRESS,TRANSIT,IN,2014-05-19T00:00:00.000Z,2014-05-18T00:00:00.000Z,,21600.98263
20,79,PEAK,COLE HARBOUR EXPRESS,TRANSIT,IN,2014-05-19T00:00:00.000Z,2014-05-18T00:00:00.000Z,2017-11-06T00:00:00.000Z,18908.32528
21,85,SUNDAY,MILLWOOD,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,11504.96171
22,83,SUNDAY,SPRINGFIELD,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,11040.02768
23,5,PEAK,CHEBUCTO,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,13068.67332
24,84,WEEKDAY REGULAR,GLENDALE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,50575.02761
25,51,SUNDAY,WINDMILL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,8495.881019
26,51,PEAK,WINDMILL (AM),TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,18901.77239
27,82,SATURDAY,FIRST LAKE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,16744.3461
28,9,WEEKDAY REGULAR,9A GREYSTONE,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2018-02-01T00:00:00.000Z,24826.37359
29,64,WEEKDAY REGULAR,BURNSIDE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,23028.43526
30,8,SATURDAY,SACKVILLE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,43348.01169
31,85,SATURDAY,MILLWOOD,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,11504.96171
32,185,WEEKDAY REGULAR,MILLWOOD EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,65332.56655
33,91,SUNDAY,HEMLOCK RAVINE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,27054.48477
34,182,WEEKDAY REGULAR,FIRST LAKE EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,56628.11509
35,91,SATURDAY,HEMLOCK RAVINE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,27054.48477
