CIV_POSTAL,CIV_ID,STR_CODE,GSA_NAME
B2W 2H9,112731,6412,DARTMOUTH
B3L 3R1,65457,207,HALIFAX
B2Y 1J9,59649,6536,DARTMOUTH
B2Y 2A6,63140,6200,DARTMOUTH
B3N 2A2,20497,771,HALIFAX
,127666,599,HALIFAX
B3B 1N8,47570,6354,DARTMOUTH
B3N 1E9,79847,81,HALIFAX
B2W 2S2,53806,6715,DARTMOUTH
B3K 2R2,58033,349,HALIFAX
B3A 2K5,49596,6391,DARTMOUTH
B2X 1G4,49309,6307,DARTMOUTH
B3A 3Z1,51308,6009,DARTMOUTH
B3L 1T8,71970,80,HALIFAX
B3L 1X4,69760,495,HALIFAX
B3A 3E4,56585,6215,DARTMOUTH
B3A 2S6,58081,6667,DARTMOUTH
B3N 2G2,18301,795,HALIFAX
B3A 2C4,52577,6255,DARTMOUTH
B3M 3H1,16843,218,HALIFAX
B2W 2C3,115495,6644,DARTMOUTH
B2X 1E9,145325,6469,DARTMOUTH
B3R 1W9,87667,395,HALIFAX
B3B 1T1,48355,6330,DARTMOUTH
B3A 4Y1,48870,6022,DARTMOUTH
B3S 1H6,14177,1144,HALIFAX
B3K 1Y4,138758,439,HALIFAX
B2X 2Z4,106564,6046,DARTMOUTH
,127127,6678,DARTMOUTH
B3A 3X2,50345,6397,DARTMOUTH
B3H 1N5,80515,687,HALIFAX
B3B 1W7,47344,6632,DARTMOUTH
B3A 2A5,54684,6616,DARTMOUTH
,15316,814,HALIFAX
B3M 2L1,9244,69,HALIFAX
B3N 2L6,17072,724,HALIFAX
B3B 1J8,47451,6295,DARTMOUTH
B2X 1X8,49035,6534,DARTMOUTH
B2X 1Y3,49048,6700,DARTMOUTH
B3K 3L6,57045,447,HALIFAX
B2X 2G6,103985,6694,DARTMOUTH
B3N 2S8,16662,278,HALIFAX
B2Y 0A8,63531,6453,DARTMOUTH
B3K 4Y4,63782,657,HALIFAX
B3P 1Y3,82269,684,HALIFAX
B3K 2Y8,134094,140,HALIFAX
B3A 4Y9,127023,6022,DARTMOUTH
B2W 6L2,61401,15530,DARTMOUTH
B2W 6J2,62239,6587,DARTMOUTH
B3L 4V9,123109,579,HALIFAX
B3B 1E8,48327,6290,DARTMOUTH
B3P 0E8,158727,17029,HALIFAX
B3P 0E8,158735,17029,HALIFAX
B3P 0E8,158736,17029,HALIFAX
B3N 1T4,78907,224,HALIFAX
B3R 1S7,23634,769,HALIFAX
B3A 3T4,51693,6466,DARTMOUTH
B3J 1T8,75806,405,HALIFAX
B3H 1M5,79020,837,HALIFAX
B3H 1L3,80905,419,HALIFAX
B3P 1K6,81739,395,HALIFAX
B2W 0H2,137221,6032,DARTMOUTH
B3K 3T2,70949,537,HALIFAX
B2W 6L7,61593,15544,DARTMOUTH
B2X 2M9,106338,6052,DARTMOUTH
B3K 5K4,58436,152,HALIFAX
B3N 0C4,147876,445,HALIFAX
B3P 2H2,85165,109,HALIFAX
B3K 1Y8,64821,439,HALIFAX
B2Y 2T4,60280,6697,DARTMOUTH
B3K 4Z7,61942,60,HALIFAX
B3K 3G3,59073,844,HALIFAX
B2Y 3W8,62012,6263,DARTMOUTH
B3P 1V4,82271,144,HALIFAX
B2Y 2M2,65611,6124,DARTMOUTH
B3L 3B6,65648,204,HALIFAX
B3K 3S8,65660,599,HALIFAX
B3N 2P9,18974,209,HALIFAX
B3R 2C6,23935,705,HALIFAX
B3B 1P9,47394,6679,DARTMOUTH
B3A 3Y3,53951,6009,DARTMOUTH
B3M 2Y5,14745,245,HALIFAX
B3M 4Y2,122919,15542,HALIFAX
B3K 4B1,57498,596,HALIFAX
B2X 2E8,105374,6694,DARTMOUTH
B3A 2R5,146858,6088,DARTMOUTH
B3K 4V1,70534,185,HALIFAX
B2Y 4H6,59272,6427,DARTMOUTH
B3N 2N1,18784,215,HALIFAX
B3S 1B3,20962,1008,HALIFAX
B3K 1H9,69061,859,HALIFAX
B3L 3X8,66275,540,HALIFAX
B2X 1A6,49813,6426,DARTMOUTH
B3L 4C8,67548,720,HALIFAX
B2W 2B6,49930,6083,DARTMOUTH
B2X 1W1,49974,6241,DARTMOUTH
B3L 4S8,68107,686,HALIFAX
B3L 1W7,71546,283,HALIFAX
B3K 3E6,62088,844,HALIFAX
,142243,462,HALIFAX
B3M 1K1,16233,804,HALIFAX
B3M 0A7,138239,15822,HALIFAX
B3M 1H4,17627,94,HALIFAX
B2W 3L4,110179,6464,DARTMOUTH
B2X 3S6,107014,6688,DARTMOUTH
B3M 4V6,138281,15584,HALIFAX
B2Y 1H9,60836,6536,DARTMOUTH
B3B 0E5,139854,16498,DARTMOUTH
B3R 2N3,128938,15710,HALIFAX
B3N 2J6,19297,715,HALIFAX
B3K 4T1,61101,701,HALIFAX
B2Y 3V8,61704,6416,DARTMOUTH
B3A 2W9,60149,6057,DARTMOUTH
B2Y 3P9,61764,6533,DARTMOUTH
B3M 3A4,8737,156,HALIFAX
B3A 3W2,52671,6062,DARTMOUTH
B3A 4H5,52835,6623,DARTMOUTH
B2W 2A8,49800,6342,DARTMOUTH
B3A 4G1,51043,6094,DARTMOUTH
B3A 2P4,51497,6296,DARTMOUTH
B3M 3X7,11384,1004,HALIFAX
B3M 2C8,8821,236,HALIFAX
B2X 0A1,137110,16433,DARTMOUTH
B3M 4V9,121642,15686,HALIFAX
B2Y 3C7,56168,6347,DARTMOUTH
B3A 1X3,57635,6525,DARTMOUTH
B2Y 4M5,64371,6434,DARTMOUTH
B3H 2S7,78921,100,HALIFAX
B3H 2W7,78860,767,HALIFAX
B3A 3S6,50448,6260,DARTMOUTH
B2W 2H8,50511,6412,DARTMOUTH
B3K 3J4,59378,15637,HALIFAX
B3B 1A6,49427,6545,DARTMOUTH
B3A 1X7,57661,6429,DARTMOUTH
B3K 3P3,59626,4,HALIFAX
B2W 2X3,51033,6050,DARTMOUTH
B3N 2L2,19795,337,HALIFAX
B3A 4E6,53029,6013,DARTMOUTH
B2W 1P5,51102,6633,DARTMOUTH
B2W 3Y8,112877,6629,DARTMOUTH
B3H 3C3,81158,701,HALIFAX
B2W 2J7,111486,6210,DARTMOUTH
B2X 3T5,123449,6394,DARTMOUTH
B2X 2C6,108203,6694,DARTMOUTH
B2X 3V6,129032,15699,DARTMOUTH
B2X 1N9,111235,6071,DARTMOUTH
B3H 1G4,80588,48,HALIFAX
B3H 2B2,77940,633,HALIFAX
B3K 2S5,61901,402,HALIFAX
B3A 0B7,142658,16708,DARTMOUTH
B3A 4H6,52003,6664,DARTMOUTH
B3A 2M9,52092,6141,DARTMOUTH
B3N 3M1,129605,565,HALIFAX
B2Y 4V5,121163,15627,DARTMOUTH
B3A 0B3,142529,16676,DARTMOUTH
B2W 3Y7,113159,6629,DARTMOUTH
B3L 3C7,75492,32,HALIFAX
B3J 2H3,77555,673,HALIFAX
B3P 2M4,135822,128,HALIFAX
B2W 0B6,54497,16616,DARTMOUTH
B3A 2Z6,57233,6811,DARTMOUTH
B3K 5N8,141448,214,HALIFAX
B3M 3J7,14046,787,HALIFAX
B2Y 3L1,54822,6560,DARTMOUTH
B3K 2G8,62772,200,HALIFAX
B3H 4S1,76242,793,HALIFAX
B2W 2P9,56169,6380,DARTMOUTH
B3K 3Y8,62657,421,HALIFAX
B3P 1R8,84153,895,HALIFAX
B3A 2S5,57512,6667,DARTMOUTH
B3K 4T4,59465,701,HALIFAX
B3K 2H9,62934,557,HALIFAX
B3P 1R5,82629,627,HALIFAX
B3P 1G8,84412,5,HALIFAX
B3A 1A2,61427,6608,DARTMOUTH
B3P 2J3,83472,970,HALIFAX
B3M 1N6,13806,387,HALIFAX
B3A 2H1,50856,6030,DARTMOUTH
B2W 0H8,144068,16800,DARTMOUTH
B3M 2Y5,14108,245,HALIFAX
B3M 1V6,11587,588,HALIFAX
B3N 1L1,22069,233,HALIFAX
B3A 1P4,132090,6817,DARTMOUTH
B2X 3V8,128048,8032,DARTMOUTH
B3M 2T8,11392,799,HALIFAX
B3S 1M3,11415,1077,HALIFAX
B2W 6S1,143261,16240,DARTMOUTH
B3M 3A4,8680,156,HALIFAX
B3S 1L1,11666,15511,HALIFAX
B3P 1H4,83817,51,HALIFAX
B3M 2G7,8103,494,HALIFAX
B3K 2B2,63763,437,HALIFAX
B3L 1G5,74826,808,HALIFAX
B2W 4Z1,110911,6314,DARTMOUTH
B3H 3H4,78745,284,HALIFAX
B2W 2W3,54813,6211,DARTMOUTH
B2Y 1S3,54880,6612,DARTMOUTH
B3H 3L7,81498,76,HALIFAX
B3P 2C8,81519,874,HALIFAX
B3P 2L5,82498,1,HALIFAX
B2X 2T1,104119,6370,DARTMOUTH
B3P 2K4,82638,917,HALIFAX
B3P 1T3,84025,869,HALIFAX
B3J 1Z6,136038,59,HALIFAX
B3N 2K6,135967,337,HALIFAX
B3K 6R6,128227,555,HALIFAX
B3P 2J6,82404,158,HALIFAX
B3M 3R1,13050,903,HALIFAX
B3M 2G8,8359,372,HALIFAX
B3N 3A5,82324,577,HALIFAX
B2W 1C6,72864,6315,DARTMOUTH
B3S 1H5,13093,1145,HALIFAX
B2Y 1L8,59745,6543,DARTMOUTH
B2Y 2J4,63162,6544,DARTMOUTH
B3A 2Z8,59845,6413,DARTMOUTH
B3H 1S7,79040,765,HALIFAX
B2Y 3J5,54587,6301,DARTMOUTH
B3N 1M4,77857,36,HALIFAX
B3R 2H7,87173,975,HALIFAX
B3H 3W9,77918,467,HALIFAX
B3A 4G1,50461,6094,DARTMOUTH
B3H 3Y8,79672,619,HALIFAX
B3H 4A6,78053,146,HALIFAX
B2W 1V2,54806,6010,DARTMOUTH
B3A 3G2,56074,6327,DARTMOUTH
B2W 1A6,74336,6533,DARTMOUTH
B2W 2A6,51909,6517,DARTMOUTH
B2X 1H6,48692,6291,DARTMOUTH
B2X 1W4,50414,6005,DARTMOUTH
