FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
MCDONALD LAKE DR,DR,8174,1104.207953
MCDOUGALL RD,RD,8176,1640.262699
MCFETRIDGE RD,RD,8177,3784.18733
MCGRATHS COVE RD,RD,8178,2404.393659
MCKAY LANE,LANE,8180,504.4892908
PENNS RD,RD,8430,153.6333342
PENTICTON DR,DR,8432,218.4289411
PERRY GRANT DR,DR,8436,2061.836152
MAPLE DR,DR,8126,596.5523698
MAPLE DR,DR,8127,220.5525731
MAPLE PL,PL,8130,208.3689115
MAPLEWOOD CRT,CRT,8135,469.9269562
MAPLEWOOD DR,DR,8136,850.4612197
PADDINGTON WAY,WAY,8394,161.538959
PALMER RD,RD,8396,385.5847065
PANAVISTA DR,DR,8397,509.0608851
PARK TERR,TERR,8400,226.2433753
PARKCREST DR,DR,8403,1084.253286
PARKDALE AVE,AVE,8404,1126.403554
PARKER HILL RD,RD,8406,1469.734172
SOUTHGATE DR,DR,16002,2389.907144
BLUESTONE RD,RD,16009,3289.371513
ALBERT WALKER DR,DR,16010,587.0388182
STELLA DR,DR,16299,735.8686356
PEARL LANE,LANE,16472,432.9364699
OWEN DR,DR,16473,163.78377
BERT FOX RD,RD,16474,252.4982985
GARDENERS WALK,WALK,16475,365.7697502
DAISYWOOD DR,DR,16476,1732.106733
KENWOOD AVE,AVE,7919,281.3325625
KERRY DR,DR,7920,685.4046471
KETCH CRT,CRT,7921,765.5484283
KINCLAVEN DR,DR,7925,667.8525291
SUMMER LANE,LANE,7927,430.4818917
SIDING LANE,LANE,7928,148.9074124
CHRISTOPHER KING LANE,LANE,7930,451.8958178
MERGANSER AVE,AVE,8204,764.3452192
RIDGEWOOD DR,DR,8534,643.5417819
RILEY RD,RD,8535,1513.740549
RITA LANE,LANE,8537,80.4653489
PARTRIDGE NEST DR,DR,8416,835.3667503
PATTON RD,RD,8421,3217.546137
PAUL DAVID DR,DR,8422,401.2573496
PEMBROOKE ST,ST,8428,388.2666902
PENNINGTON DR,DR,8429,471.8122052
KILLEN LANE,LANE,10054,918.4159452
MALLARD DR,DR,8118,1204.398543
MANCHESTER DR,DR,8119,478.406598
MANDAVILLE DR,DR,8120,767.9020573
MAPLE DR,DR,8124,611.8612378
MAPLE DR,DR,8125,485.6943429
CHALAMONT DR,DR,7245,1304.639407
CHAMBERLAIN DR,DR,7246,940.9128067
CHARLES RD,RD,7252,2214.424642
CHARLES GRAY RD,RD,7253,1020.456885
CHARLESWOOD DR,DR,7256,808.9326549
CHARTWELL RD,RD,7257,229.616286
MEADOW RD,RD,7260,4640.26084
CHATER DR,DR,7261,399.7863397
ROSEHEDGE LANE,LANE,6579,248.9960169
RUBEN CRT,CRT,6585,346.4505747
SARATOGA DR,DR,6593,965.2226626
SCOTSBURN AVE,AVE,6597,124.6476237
SHEILING LANE,LANE,6605,87.84893126
SHORT ST,ST,6609,216.7054999
BOWSER AVE,AVE,6077,514.4054089
GUYSBOROUGH AVE,AVE,6297,1173.578197
HILTON DR,DR,6324,295.6452109
PURCELLS COVE RD,RD,8493,2007.533134
PURNACHANDRA DR,DR,8494,222.8639833
QUEENS RD,RD,8498,275.0362082
RAINES MILL RD,RD,8504,669.3498573
POPLAR DR,DR,8475,3002.998607
KIRTLAND CRT,CRT,7941,315.3410593
SHANNON DR,DR,8681,297.7824829
SHANNON DR,DR,8682,321.1947
HIGHWAY 374, ,8688,10733.12516
SHEFFIELD CRT,CRT,8690,356.3651118
SHELDRAKE CRES,CRES,8691,969.4989939
SHELLY CRES,CRES,8693,712.464441
SHEPHERDS LANE,LANE,8694,1669.044772
SHERRI LANE,LANE,8695,958.9398491
ABBEY RD,RD,10059,2586.843884
ALBEN LANE,LANE,10063,1008.624219
ALEXANDER RD,RD,10064,262.1818123
BROWNSEA RD,RD,4374,4455.826796
TACHE ST,ST,8836,287.4971805
CAUDLE PARK CRES,CRES,7235,655.2549448
PADDOCK LANE,LANE,16005,192.8785991
PORTCHESTER GATE,GATE,16006,205.6659569
