Hotel ID,Name,Type,Longitude,Latitude
1,Adams' Knightswood Carriage House Tourist Home,Accommodation,-63.54527,44.71797
2,Alt Hotel Halifax Airport,Accommodation,-63.517869,44.88587
3,At Robie's End B&B,Accommodation,-63.581921,44.629586
4,Atlantica Hotel Halifax,Accommodation,-63.590406,44.646687
5,Autumn Leaves Bed & Breakfast,Accommodation,-63.5457,44.69535
6,Best Western Plus Chocolate Lake Hotel,Accommodation,-63.62448,44.64037
7,Best Western Plus Dartmouth Hotel & Suites,Accommodation,-63.57997,44.70103
8,Bluenose Inn & Suites,Accommodation,-63.661209,44.699894
9,Briarwood Bed & Breakfast,Accommodation,-63.50493,44.967679
10,Cambridge Suites Hotel Halifax,Accommodation,-63.57557,44.645204
11,Château Bedford,Accommodation,-63.67596,44.68437
12,Chebucto Inn,Accommodation,-63.614118,44.665318
13,Coastal Inn Dartmouth,Accommodation,-63.596599,44.681701
14,Coastal Inn Halifax,Accommodation,-63.667006,44.637488
15,Comfort Hotel Bayer's Lake,Accommodation,-63.668023,44.637484
16,Comfort Inn Halifax,Accommodation,-63.66105,44.694884
17,Comfort Inn Janus,Accommodation,-63.598544,44.685577
18,Compass Distillers,Accommodation,-63.592343,44.654745
19,Courtyard by Marriott Halifax Downtown,Accommodation,-63.570927,44.645163
20,Dalhousie University,Accommodation,-63.592296,44.637198
21,Delta Hotels by Marriott Dartmouth,Accommodation,-63.578723,44.695083
22,Doubletree by Hilton Halifax-Dartmouth,Accommodation,-63.57665,44.66937
23,Eastern Passage Bed & Breakfast,Accommodation,-63.462589,44.600904
24,Fountain View Guest House,Accommodation,-63.591932,44.649873
25,Four Points by Sheraton Halifax,Accommodation,-63.571607,44.644892
26,Future Inns Halifax Hotel and Conference Centre,Accommodation,-63.6726,44.659339
27,Garden South Park Inn,Accommodation,-63.57827,44.63922
28,Halifax Marriott Harbourfront,Accommodation,-63.57407,44.65067
29,Halifax Waverley Inn,Accommodation,-63.571269,44.641253
30,Hampton Inn & Suites,Accommodation,-63.560823,44.704906
31,Hampton Inn by Hilton Halifax Downtown,Accommodation,-63.57883,44.650084
32,Hearthstone Inn Halifax/Dartmouth,Accommodation,-63.549702,44.679187
33,Heritage Hideaway Bed & Breakfast,Accommodation,-63.668967,44.7265
34,Hilton Garden Inn Halifax Airport,Accommodation,-63.543744,44.862219
35,Holiday Inn Express & Suites Halifax–Bedford,Accommodation,-63.676658,44.682997
36,Holiday Inn Express Hotel & Suites Halifax Airport,Accommodation,-63.54373,44.861042
37,Homewood Suites by Hilton Halifax Downtown,Accommodation,-63.57883,44.650085
38,Hostelling International Canada – Atlantic Region (HI – Halifax),Accommodation,-63.570753,44.640923
39,Hotel Halifax (formerly Delta Hotels by Marriott Halifax),Accommodation,-63.576451,44.650891
40,Inn at Fisherman's Cove,Accommodation,-63.493556,44.611191
41,Inn on the Lake,Accommodation,-63.606811,44.807175
42,Killarney Bed & Breakfast,Accommodation,-63.716125,44.722665
43,Lake City Motel,Accommodation,-63.54142,44.68258
44,Lakeside Bed & Breakfast,Accommodation,-63.552765,44.6808
45,Lord Nelson Hotel & Suites,Accommodation,-63.57976,44.642575
46,Marigold Bed & Breakfast,Accommodation,-63.597435,44.643276
47,Mount Saint Vincent University,Accommodation,-63.64393,44.67252
48,Premiere Executive Suites/Atlantic,Accommodation,-63.569504,44.643696
49,Prince George Hotel,Accommodation,-63.576288,44.647229
50,Quality Inn Halifax Airport,Accommodation,-63.53585,44.8755
51,Quigley's Landing & Suite,Accommodation,-63.494157,44.611429
52,Residence Inn Halifax Downtown,Accommodation,-63.57487,44.6459
53,Saint Mary's University,Accommodation,-63.580105,44.629828
54,Sal's Bed & Breakfast By The Sea,Accommodation,-63.558633,44.5704
55,Seasons Inn,Accommodation,-63.632449,44.652426
