OBJECTID,PRIME,SOURCE,SACC,SDATE,DIVISION,FDMID,ADDDATE,MODDATE,Shape__Area,Shape__Length
50442,45,HRFE,Interactive,2015-10-22T00:00:00.000Z,4,454H,,2019-10-29T12:46:03.000Z,1793199.1875,26047.6484444151
50443,50,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,502D,,2019-10-29T12:46:04.000Z,60545529.0234375,57229.6572426271
50444,08,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,82C,,2019-10-29T12:46:03.000Z,626349.37109375,4026.06286955411
50445,07,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,72C,,2019-10-29T12:46:04.000Z,9530800.46484375,16592.1461902297
50446,50,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,501B,,2019-10-29T12:46:03.000Z,2343293.65234375,9499.78570952089
50447,26,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,261D,,2019-10-29T12:46:03.000Z,470661256.914063,113453.509603841
50448,58,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,586C,,2019-10-29T12:46:03.000Z,324631.2109375,3054.02444404681
50449,58,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,585C,,2019-10-29T12:46:03.000Z,4321981.62109375,10455.6793615154
50450,36,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,360D,,2019-10-29T12:46:03.000Z,251314576.128906,86880.3250680021
50451,34,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,340D,,2019-10-29T12:46:03.000Z,104156167.945313,50334.7775769763
50452,28,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,280D,,2019-10-29T12:46:03.000Z,895076817.136719,130737.079357216
50453,25,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,251D,,2019-10-29T12:46:03.000Z,71200432.3789063,47409.5266437248
50454,23,HRFE,Interactive,2015-10-22T00:00:00.000Z,5,233H,,2019-10-29T12:46:03.000Z,2590506.8671875,37997.7645333104
50455,21,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,213H,,2019-10-29T12:46:03.000Z,1285030.65234375,19076.1112172062
50456,50,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,505B,,2019-10-29T12:46:03.000Z,3076072.7265625,16258.772191003
